iter	Accuracy	MultiClass
363	0.9959265251	0.05612486659
364	0.9959265251	0.05611642032
365	0.9959265251	0.05608069549
366	0.9959265251	0.05603682003
367	0.9959265251	0.05596479739
368	0.9959265251	0.05583816735
369	0.9965826931	0.05553916659
370	0.9965826931	0.05531619269
371	0.9965826931	0.05530344954
372	0.9965826931	0.05515339515
373	0.9965826931	0.05484851745
374	0.9969107771	0.05483218625
375	0.9965826931	0.05453051894
376	0.9969107771	0.0545078467
377	0.9965826931	0.05427869208
378	0.9962546091	0.0540567427
379	0.9969107771	0.0539217042
380	0.9969107771	0.0538214094
381	0.9969107771	0.05359351841
382	0.9972604274	0.05344949533
383	0.9969323434	0.05324068543
384	0.9969323434	0.053221516
385	0.9975885114	0.0529246965
386	0.9975669451	0.05265608677
387	0.9979165954	0.05252868611
388	0.9975885114	0.05224490604
389	0.9979165954	0.05204502949
390	0.9979165954	0.051873243
391	0.9979165954	0.05185531251
392	0.9979165954	0.05183220154
393	0.9982446794	0.05162278914
394	0.9982446794	0.05148872663
395	0.9982446794	0.05115399949
396	0.9982446794	0.05086607612
397	0.9985943298	0.05064910263
398	0.9985943298	0.05063530695
399	0.9985943298	0.05045576829
400	0.9985943298	0.05043590261
401	0.9985943298	0.05024171676
402	0.9985943298	0.05015200631
403	0.9985943298	0.04998509539
404	0.9985943298	0.04987946313
405	0.9989535252	0.04973332948
406	0.9989535252	0.0495606373
407	0.9989535252	0.04942666138
408	0.9989535252	0.04941764902
409	0.9989535252	0.04938763818
410	0.9989535252	0.04917007808
411	0.9989535252	0.04907950638
412	0.9993127206	0.04893856893
413	0.9989535252	0.04889986875
414	0.9989535252	0.0487364957
415	0.9989535252	0.04872215085
416	0.9989535252	0.04867801645
417	0.9989535252	0.04865338101
418	0.9993127206	0.0485569621
419	0.9989535252	0.04851359983
420	0.9993127206	0.04824624427
421	0.9993127206	0.04808843804
422	0.9993127206	0.04790571195
423	0.9993127206	0.04786616018
424	0.9993127206	0.04761068662
425	0.9993127206	0.04744780118
426	0.9993127206	0.04725131552
427	0.9993127206	0.04722817772
428	0.9993127206	0.0469200731
429	0.9993127206	0.04676884744
430	0.9993127206	0.04664717021
431	0.9993127206	0.04657633561
432	0.9993127206	0.04642928533
433	0.9993127206	0.04626942858
434	0.9993127206	0.04618517329
435	0.9993127206	0.04605041265
436	0.9993127206	0.04585446371
437	0.9993127206	0.04572414034
438	0.9993127206	0.04568984337
439	0.9993127206	0.04561639995
440	0.9993127206	0.04556775717
441	0.9993127206	0.04555942718
442	0.9993127206	0.04553995558
443	0.9993127206	0.04553394331
444	0.9993127206	0.04537140714
445	0.9993127206	0.04535883711
446	0.9993127206	0.0452536718
447	0.9993127206	0.04513864537
448	0.9993127206	0.04503560094
449	0.9993127206	0.04497147451
450	0.9993127206	0.04494243282
451	0.9993127206	0.04491572724
452	0.9993127206	0.04477586324
453	0.9993127206	0.04470931184
454	0.9993127206	0.044544545
455	0.9993127206	0.04438032706
456	0.9993127206	0.04412673999
457	0.9993127206	0.04400314616
458	0.9993127206	0.04391127356
459	0.9993127206	0.043794268
460	0.9993127206	0.04377889082
461	0.9993127206	0.04367713533
462	0.9993127206	0.04366832369
463	0.9993127206	0.04343449606
464	0.9993127206	0.04334016322
465	0.9993127206	0.0431703928
466	0.9993127206	0.04313965538
467	0.9993127206	0.04312805857
468	0.9993127206	0.04297653901
469	0.9993127206	0.04282092005
470	0.9993127206	0.04265791689
471	0.9993127206	0.04259097055
472	0.9993127206	0.04253622755
473	0.9993127206	0.04240293515
474	0.9993127206	0.04230057536
475	0.9993127206	0.04211478026
476	0.9993127206	0.04199677123
477	0.9993127206	0.04182112133
478	0.9993127206	0.04181714381
479	0.9993127206	0.04175774935
480	0.9993127206	0.04155409927
481	0.9993127206	0.04137894762
482	0.9993127206	0.04135543609
483	0.9993127206	0.04134938304
484	0.9993127206	0.04115745813
485	0.9993127206	0.04107931828
486	0.9993127206	0.04105868954
487	0.9993127206	0.04100257888
488	0.9993127206	0.04078652655
489	0.9993127206	0.04076997028
490	0.9993127206	0.04070269478
491	0.9993127206	0.04053542181
492	0.9993127206	0.04039041066
493	0.9993127206	0.04032008921
494	0.9993127206	0.04028438278
495	0.9993127206	0.04008266179
496	0.9993127206	0.04006077337
497	0.9993127206	0.03994279771
498	0.9993127206	0.0398544979
499	0.9993127206	0.03977063686
